API_perc	Mannitol_perc	MCC_perc	Lactose_perc	Calcium_silicate_perc	HPMC_perc	Sodium_bicarbonate_perc	SSG_perc	CC_Na_perc	Crospovidone_perc	L_HPC_perc	Pregelatinized_starch_perc	Sodium_carboxymethyl_starch_perc	Mg_stearate_perc	Aerosil_perc	Sodium_stearyl_fumarate_perc	Colloidal_silicon_dioxide_perc	Talc_perc	X2HP_bCD_perc	bCD_perc	CD_methacrylate_perc	Amberlite_IRP_64_69_perc	Eudragit_EPO_perc	Poloxamer_188_perc	PVP_perc	SLS_perc	PVA_perc	Camphor_perc	Hardness_N	GATS7i	Thickness_mm	GGI7	MATS4p	MIC2	Punch_mm	nT12Ring	XLogP	GATS7p	nF8HeteroRing	Disintegration_time_sec
21.62	58.92	0.0	0.0	0.0	0.0	0.0	10.81	0.0	0.0	0.0	0.0	0	3.24	0.0	0.0	0.0	3.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16	0.0	0.0	28.55	0.805527924418814	3.5	0.168402777777778	0.064274755227485	30.040778498021197	8.0	0	4.053	0.726826908442132	0	113.09
2.47	63.51	10.31	0.0	0.0	0.0	0.0	0.0	0.0	10.31	0.0	0.0	0	1.03	1.03	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.31	2.4	0.9676726649087579	3.11	0.21878543083900198	-0.192361735534093	33.5351036707398	6.0	0	2.574	0.9687653336446709	0	29.0
11.11	31.25	50.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.21	0.0	0	0.0	1.04	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9	0.957167844789598	2.54	0.282986111111111	-0.226978704269065	37.143602367451294	5.5	0	2.923	0.9018074925984709	0	21.17
67.8	12.71	4.24	0.0	0.0	0.0	0.0	5.08	0.0	0.0	0.0	0.0	0	0.34	0.0	0.0	0.0	0.51	0.0	9.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.06	0.883260408652163	6.5	0.261267006802721	-0.123941264581803	35.604857704931504	16.0	0	3.654	1.00047846754776	0	55.66
7.52	28.95	0.0	0.0	56.39	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	35.69	1.18607147721651	5.14	0.428819444444445	-0.16715040826878302	30.3855225908032	12.0	0	5.083	1.18879196916599	0	35.0
44.64	0.0	0.0	30.8	0.0	0.0	0.0	0.0	11.9	7.14	0.0	0.0	0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.46	36.87	1.0085836677281999	3.62	0.230902777777778	0.043166370396283	33.2301541688774	10.0	0	5.517	0.962524344512523	0	43.16
17.18	25.77	51.37	0.0	0.0	0.0	0.0	0.0	2.06	0.0	0.0	0.0	0	2.06	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.55	0.955813507964537	3.3	0.40536422902494296	-0.05623225696839499	38.2426994596718	6.0	0	4.607	0.8996217093581401	0	67.1
2.0	35.0	2.45	54.5	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0	1.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.67	0.841191958519201	4.2	0.5955215419501129	-0.186156552223423	39.081474500079004	8.0	0	1.138	0.844419325732825	0	42.0
2.08	54.69	26.04	0.0	0.0	0.0	0.0	11.72	1.3	0.0	0.0	0.0	0	2.08	0.0	0.0	0.0	2.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.81	0.8956887967950191	3.3	0.206597222222222	0.000791909174244	30.484285557354198	8.0	0	1.173	0.984837068840027	0	26.92
44.64	0.0	0.0	30.8	0.0	0.0	0.0	0.0	9.52	9.52	0.0	0.0	0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.46	35.57	1.0085836677281999	3.54	0.230902777777778	0.043166370396283	33.2301541688774	10.0	0	5.517	0.962524344512523	0	35.16
7.46	49.25	29.85	0.0	0.0	0.0	0.0	0.0	3.73	0.0	0.0	4.48	0	1.49	0.75	0.0	0.0	2.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.3	0.9569274447780369	1.86	0.4427083333333329	-0.048725602311990995	41.248301118872796	10.0	0	3.235	1.1996480280338	0	28.0
11.59	32.61	37.32	0.0	0.0	0.0	0.0	0.0	0.0	16.3	0.0	0.0	0	0.0	1.09	1.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.41	0.957167844789598	2.77	0.282986111111111	-0.226978704269065	37.143602367451294	5.5	0	2.923	0.9018074925984709	0	6.0
